Country,Country Code,percentage
Aruba,ABW,17.8024469743493
Afghanistan,AFG,43.09017551177939
Angola,AGO,46.80892470954121
Albania,ALB,17.672873724303997
Andorra,AND,
Arab World,ARB,32.7804361810202
United Arab Emirates,ARE,14.603509370146801
Argentina,ARG,24.7609338351238
Armenia,ARM,20.6334219249969
American Samoa,ASM,
Antigua and Barbuda,ATG,22.0810917475022
Australia,AUS,19.1906170385658
Austria,AUT,14.297947632023302
Azerbaijan,AZE,23.369569860386502
Burundi,BDI,45.501680749118606
Belgium,BEL,17.0554227603857
Benin,BEN,42.4476823945995
Burkina Faso,BFA,44.9480813221662
Bangladesh,BGD,27.706022482501
Bulgaria,BGR,14.5954653179814
Bahrain,BHR,19.254310119621802
"Bahamas, The",BHS,22.4848756732367
Bosnia and Herzegovina,BIH,14.7662176493152
Belarus,BLR,16.865943050480098
Belize,BLZ,30.2797653698662
Bermuda,BMU,
Bolivia,BOL,31.073547745637303
Brazil,BRA,21.3340719108545
Barbados,BRB,17.342948147683
Brunei Darussalam,BRN,23.0264614896856
Bhutan,BTN,25.771353733092297
Botswana,BWA,34.1129460158256
Central African Republic,CAF,44.294320550801004
Canada,CAN,15.8702508744405
Central Europe and the Baltics,CEB,15.135642136065302
Switzerland,CHE,14.910954769106901
Channel Islands,CHI,15.188358876005099
Chile,CHL,19.753902470799503
China,CHN,17.8770027525543
Cote d'Ivoire,CIV,41.9369721367589
Cameroon,CMR,42.6315798448676
"Congo, Dem. Rep.",COD,46.1656420864844
"Congo, Rep.",COG,41.7635024604532
Colombia,COL,23.077895979963998
Comoros,COM,39.5384238311615
Cabo Verde,CPV,28.7777669479759
Costa Rica,CRI,21.3247441063911
Caribbean small states,CSS,23.712924250753897
Cuba,CUB,16.211238992236304
Curacao,CUW,18.883946126622103
Cayman Islands,CYM,
Cyprus,CYP,16.787847956510998
Czech Republic,CZE,15.586605519743399
Germany,DEU,13.621030104535599
Djibouti,DJI,29.574115961344106
Dominica,DMA,
Denmark,DNK,16.458262562398698
Dominican Republic,DOM,27.977129502657398
Algeria,DZA,30.1486785862257
East Asia & Pacific (excluding high income),EAP,20.498812385601603
Early-demographic dividend,EAR,28.8975707496211
East Asia & Pacific,EAS,19.7675470402693
Europe & Central Asia (excluding high income),ECA,21.039086554110398
Europe & Central Asia,ECS,18.0150568463075
Ecuador,ECU,28.028592002110898
"Egypt, Arab Rep.",EGY,33.7987207092348
Euro area,EMU,15.068116906395801
Eritrea,ERI,
Spain,ESP,14.667001107535501
Estonia,EST,16.3570737459559
Ethiopia,ETH,40.782981907323396
European Union,EUU,15.4757007918995
Fragile and conflict affected situations,FCS,40.2373876033717
Finland,FIN,16.1451829725838
Fiji,FJI,29.5126222009931
France,FRA,17.9564644444787
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,31.707208806818198
Gabon,GAB,37.0258696960045
United Kingdom,GBR,17.678082068957302
Georgia,GEO,19.7952406005383
Ghana,GHA,37.5960615850344
Gibraltar,GIB,
Guinea,GIN,43.8501733445473
"Gambia, The",GMB,44.2687450605107
Guinea-Bissau,GNB,42.3391522075139
Equatorial Guinea,GNQ,37.1165988655245
Greece,GRC,14.071244865402301
Grenada,GRD,23.561289859493602
Greenland,GRL,
Guatemala,GTM,34.4353953933618
Guam,GUM,24.4637083152357
Guyana,GUY,28.214545202476
High income,HIC,16.5234666898609
"Hong Kong SAR, China",HKG,11.900897075720401
Honduras,HND,31.740881533309697
Heavily indebted poor countries (HIPC),HPC,42.8560598715572
Croatia,HRV,14.5119400058464
Haiti,HTI,33.242244257891
Hungary,HUN,14.4119922134424
IBRD only,IBD,23.581225518679
IDA & IBRD total,IBT,27.4829217419585
IDA total,IDA,38.8485035306461
IDA blend,IDB,38.743938144791706
Indonesia,IDN,26.5511973052634
IDA only,IDX,38.902188118013704
Isle of Man,IMN,
India,IND,27.053301853022102
Not classified,INX,
Ireland,IRL,21.4064195870662
Iran,IRN,24.476558660231902
Iraq,IRQ,38.3865654011074
Iceland,ISL,19.8323201064408
Israel,ISR,27.9252464589938
Italy,ITA,13.3291160906398
Jamaica,JAM,23.750096683063898
Jordan,JOR,34.2454902091433
Japan,JPN,12.6968488090205
Kazakhstan,KAZ,28.460549777839304
Kenya,KEN,39.7821669340692
Kyrgyz Republic,KGZ,32.3504171141318
